id,name,source,url,metaScore,ageDays,leaderTitle,deckPrice,views,likes
riot-bologna-1-alanzq1,Bologna #1 - Alanzq1,riot-bologna,https://riftbound.leagueoflegends.com/en-us/news/organizedplay/the-best-decks-out-of-bologna/,31.6324,88.08905758130882,"Ezreal, Prodigal Explorer",464.75,34438.0,
riot-bologna-3-krowz,Bologna #3 - krowz,riot-bologna,https://riftbound.leagueoflegends.com/en-us/news/organizedplay/the-best-decks-out-of-bologna/,29.9085,210.36107631298609,"Irelia, Blade Dancer",424.76,,
riot-bologna-5-prismaticismism,Bologna #5 - Prismaticismism,riot-bologna,https://riftbound.leagueoflegends.com/en-us/news/organizedplay/the-best-decks-out-of-bologna/,29.1486,87.20215715997749,"Draven, Glorious Executioner",670.52,13320.0,
riot-bologna-6-randyyy,Bologna #6 - Randyyy,riot-bologna,https://riftbound.leagueoflegends.com/en-us/news/organizedplay/the-best-decks-out-of-bologna/,28.6723,210.36107631298609,"Draven, Glorious Executioner",512.17,,
draven-glorious-executioner-s2-regional-open-chengdu-1st-dongwan-xiongmao,"Draven, Glorious Executioner: S2 Regional Open Chengdu 1st (東莞熊貓)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-chengdu-1st-dongwan-xiongmao,28.2594,20.0,"Draven, Glorious Executioner",282.18,478.0,3
riot-bologna-7-m4rcus99,Bologna #7 - M4rcus99,riot-bologna,https://riftbound.leagueoflegends.com/en-us/news/organizedplay/the-best-decks-out-of-bologna/,28.2138,210.36107631298609,"Draven, Glorious Executioner",362.96,,
riot-bologna-8-themanlandrft,Bologna #8 - TheManLandRFT,riot-bologna,https://riftbound.leagueoflegends.com/en-us/news/organizedplay/the-best-decks-out-of-bologna/,27.84,210.36107631298609,"Ezreal, Prodigal Explorer",614.68,,
irelia-blade-dancer-s2-regional-open-fuzhou-top-4-chiyue-xingxiu,"Irelia, Blade Dancer: S2 Regional Open Fuzhou Top 4 (赤月星宿)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/irelia-blade-dancer-s2-regional-open-fuzhou-top-4-chiyue-xingxiu,27.1126,24.0,"Irelia, Blade Dancer",376.51,8100.0,2
bddda4b9-c718-4faa-8178-59c7f80a586c,&lt;3 IRELA &lt;3 future tier ZERO,piltoverarchive,https://piltoverarchive.com/decks/view/bddda4b9-c718-4faa-8178-59c7f80a586c,26.9062,10.0,"Irelia, Blade Dancer",328.5,10300.0,0
ezreal-prodigal-explorer-s2-regional-open-chengdu-top-4-tingting,"Ezreal, Prodigal Explorer: S2 Regional Open Chengdu Top 4 (Omegаone.霆霆)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/ezreal-prodigal-explorer-s2-regional-open-chengdu-top-4-tingting,26.8484,19.0,"Ezreal, Prodigal Explorer",480.86,485.0,5
draven-glorious-executioner-s2-regional-open-chengdu-top-8-dongwan-xingmao,"Draven, Glorious Executioner: S2 Regional Open Chengdu Top 8 (东莞星猫)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-chengdu-top-8-dongwan-xingmao,26.2518,104.83192903027778,"Draven, Glorious Executioner",524.09,,
irelia-blade-dancer-s2-regional-open-fuzhou-top-8-trails,"Irelia, Blade Dancer: S2 Regional Open Fuzhou Top 8 (Trails)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/irelia-blade-dancer-s2-regional-open-fuzhou-top-8-trails,26.1129,111.11828334781251,"Irelia, Blade Dancer",376.7,,
irelia-blade-dancer-s2-regional-open-chengdu-top-8-jianyi,"Irelia, Blade Dancer: S2 Regional Open Chengdu Top 8 (LineKа·健一)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/irelia-blade-dancer-s2-regional-open-chengdu-top-8-jianyi,26.1076,104.83256573246527,"Irelia, Blade Dancer",372.44,,
draven-glorious-executioner-s2-regional-open-fuzhou-top-4-tiantang-zhizao,"Draven, Glorious Executioner: S2 Regional Open Fuzhou Top 4 (天堂制造)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-fuzhou-top-4-tiantang-zhizao,25.9604,111.12015824244213,"Draven, Glorious Executioner",273.93,,
578cb09d-58d8-49c1-a1d2-ca978d155bd2,1st Place Runes League Zesty Draven Gianluca Di Clemente(Dicle),piltoverarchive,https://piltoverarchive.com/decks/view/578cb09d-58d8-49c1-a1d2-ca978d155bd2,25.5298,25.0,"Draven, Glorious Executioner",533.72,48300.0,12
ed1f93b5-3ead-4c1c-a200-5b2d1f28ca71,2nd Place - Dalian Regional Open,piltoverarchive,https://piltoverarchive.com/decks/view/ed1f93b5-3ead-4c1c-a200-5b2d1f28ca71,25.2972,11.0,"Ezreal, Prodigal Explorer",516.06,418.0,2
0bc37541-b4da-4c40-a645-a67fa92de5b1,Turbo Draven,piltoverarchive,https://piltoverarchive.com/decks/view/0bc37541-b4da-4c40-a645-a67fa92de5b1,25.2343,15.0,"Draven, Glorious Executioner",485.33,1600.0,0
71708c76-5b3b-4e5c-8cef-14ad53ecbd6e,Irelia 2025 12 17,piltoverarchive,https://piltoverarchive.com/decks/view/71708c76-5b3b-4e5c-8cef-14ad53ecbd6e,25.0863,60.0,"Irelia, Blade Dancer",549.69,125200.0,19
draven-glorious-executioner-s2-regional-open-fuzhou-1st-aipotu,"Draven, Glorious Executioner: S2 Regional Open Fuzhou 1st (Aipotu)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-fuzhou-1st-aipotu,25.0545,111.1219637857176,"Draven, Glorious Executioner",199.85,,
5937312d-8a14-4911-b95b-ab7de6b1503f,Irelia Deck Brew,piltoverarchive,https://piltoverarchive.com/decks/view/5937312d-8a14-4911-b95b-ab7de6b1503f,25.0115,6.0,"Irelia, Blade Dancer",463.2,2600.0,0
f04e110b-59a3-4fb0-a208-1c4e5e24e399,Ezreal Tempo 8.0. Thoughts after testing update,piltoverarchive,https://piltoverarchive.com/decks/view/f04e110b-59a3-4fb0-a208-1c4e5e24e399,24.9621,4.0,"Ezreal, Prodigal Explorer",280.26,32500.0,3
riot-bologna-4-ghosterdriver,Bologna #4 - Ghosterdriver,riot-bologna,https://riftbound.leagueoflegends.com/en-us/news/organizedplay/the-best-decks-out-of-bologna/,24.9367,210.36107631298609,"Viktor, Herald of the Arcane",125.01,,
a14e8bb0-b9b7-4bf9-b7e7-739f3d31f5ca,*2.0-UPDATED*,piltoverarchive,https://piltoverarchive.com/decks/view/a14e8bb0-b9b7-4bf9-b7e7-739f3d31f5ca,24.8675,3.0,"Irelia, Blade Dancer",380.67,16600.0,6
draven-glorious-executioner-s2-regional-open-chengdu-top-8-hei-tianshi,"Draven, Glorious Executioner: S2 Regional Open Chengdu Top 8 (LineKа·黑天使)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-chengdu-top-8-hei-tianshi,24.8568,104.83222997770832,"Draven, Glorious Executioner",271.1,,
6beed063-ac76-4272-b908-7a40cec403de,2nd Dalian Regional Ezreal,piltoverarchive,https://piltoverarchive.com/decks/view/6beed063-ac76-4272-b908-7a40cec403de,24.7919,13.0,"Ezreal, Prodigal Explorer",579.4,326.0,1
draven-glorious-executioner-s2-regional-open-fuzhou-top-8-bu-qi,"Draven, Glorious Executioner: S2 Regional Open Fuzhou Top 8 (布启)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-fuzhou-top-8-bu-qi,24.6885,111.11861890129629,"Draven, Glorious Executioner",266.53,,
draven-glorious-executioner-s2-regional-open-fuzhou-top-8-haidao-pasiqi,"Draven, Glorious Executioner: S2 Regional Open Fuzhou Top 8 (海盗帕奇斯)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-fuzhou-top-8-haidao-pasiqi,24.6348,111.11890826399306,"Draven, Glorious Executioner",265.08,,
irelia-5th-at-lille-regional-qualifier,Irelia 5th at Lille Regional Qualifier,riftboundgg,https://riftbound.gg/decks/irelia-5th-at-lille-regional-qualifier/,24.5605,31.29190531783634,Irelia - Blade Dancer,522.55,15208.0,
7d2dae17-c7a6-4ba9-9dda-b20e2bcd84a4,Ratzreal,piltoverarchive,https://piltoverarchive.com/decks/view/7d2dae17-c7a6-4ba9-9dda-b20e2bcd84a4,24.5042,18.0,"Ezreal, Prodigal Explorer",494.48,812.0,15
ezreal-prodigal-explorer-deck-t5aik,Ezreal - Prodigal Explorer Deck,riftboundgg,https://riftbound.gg/decks/ezreal-prodigal-explorer-deck-t5aik/,24.4407,1.3979662296755446,Ezreal - Prodigal Explorer,762.53,88.0,
fe49ab73-0579-4854-8fc9-f71245547ee3,Best-Of Ezreal - 29th Place - Fuzhou Regional Open,piltoverarchive,https://piltoverarchive.com/decks/view/fe49ab73-0579-4854-8fc9-f71245547ee3,24.3526,25.0,"Ezreal, Prodigal Explorer",510.55,12900.0,4
711f1760-6ee2-4341-9f13-7d8dc54a9d4f,Guangzhou 1st,piltoverarchive,https://piltoverarchive.com/decks/view/711f1760-6ee2-4341-9f13-7d8dc54a9d4f,24.2654,23.0,"Irelia, Blade Dancer",595.87,12500.0,1
9763100c-1bd9-4d08-9677-84da1dc1c514,Shanghai 1st,piltoverarchive,https://piltoverarchive.com/decks/view/9763100c-1bd9-4d08-9677-84da1dc1c514,24.2183,30.0,"Irelia, Blade Dancer",547.9,4400.0,1
23f4439a-3bf6-4e57-940d-12c57adb2ebb,One Woman Army,piltoverarchive,https://piltoverarchive.com/decks/view/23f4439a-3bf6-4e57-940d-12c57adb2ebb,24.1964,23.0,"Irelia, Blade Dancer",347.37,5200.0,0
draven-wins-new-zealand-10k-open,Draven wins New Zealand 10K Open,riftboundgg,https://riftbound.gg/decks/draven-wins-new-zealand-10k-open/,24.1259,0.7627891741886184,Draven - Glorious Executioner,370.61,17362.0,
8fcca87b-fbe6-4997-8d7a-1237b1d7de1a,3rd place group B (Ascension League Season 2 - Stage 2) - 13/01/2026,piltoverarchive,https://piltoverarchive.com/decks/view/8fcca87b-fbe6-4997-8d7a-1237b1d7de1a,24.116,30.0,"Irelia, Blade Dancer",353.27,6500.0,0
f6a8a08e-44ac-4cc4-883a-8bb996eaeb3c,Winter League Bologna - 01/10/26 - 1st Place - Giаnlucа Di Clemente,piltoverarchive,https://piltoverarchive.com/decks/view/f6a8a08e-44ac-4cc4-883a-8bb996eaeb3c,24.1079,30.0,"Draven, Glorious Executioner",533.69,3800.0,0
a5152c8c-f221-4bf9-8660-229b2660541e,miracle draven,piltoverarchive,https://piltoverarchive.com/decks/view/a5152c8c-f221-4bf9-8660-229b2660541e,24.0758,30.0,"Draven, Glorious Executioner",529.43,3500.0,0
cec2752e-5980-4033-bca3-1f89c9dc8018,Chinese Miracle Draven,piltoverarchive,https://piltoverarchive.com/decks/view/cec2752e-5980-4033-bca3-1f89c9dc8018,24.0596,23.0,"Draven, Glorious Executioner",524.06,2200.0,0
draven-top-32-sydney-regional,Draven Top 32 Sydney Regional,riftboundgg,https://riftbound.gg/decks/draven-top-32-sydney-regional/,24.0376,1.291857868888312,Draven - Glorious Executioner,426.36,1193.0,
b3109795-1241-46de-aecc-b89fb7c6a530,irelia 2nd place Chinese streamer cup - 80 person,piltoverarchive,https://piltoverarchive.com/decks/view/b3109795-1241-46de-aecc-b89fb7c6a530,24.0315,60.0,"Irelia, Blade Dancer",529.11,18100.0,0
66b108fa-8e0d-424b-a06b-02b12c610c17,Irelia miracle v1,piltoverarchive,https://piltoverarchive.com/decks/view/66b108fa-8e0d-424b-a06b-02b12c610c17,24.0096,30.0,"Irelia, Blade Dancer",791.75,1600.0,0
89e934a2-ed6a-4fb4-b861-1e9d3c5b33fd,Mono Purple Ezreal v2,piltoverarchive,https://piltoverarchive.com/decks/view/89e934a2-ed6a-4fb4-b861-1e9d3c5b33fd,23.9895,4.0,"Ezreal, Prodigal Explorer",612.83,2200.0,0
detonate-draven-wins-pro-play-summit-pittsburgh,Detonate Draven wins Pro-Play Summit: Pittsburgh,riftboundgg,https://riftbound.gg/decks/detonate-draven-wins-pro-play-summit-pittsburgh/,23.9843,64.09450376479163,Draven - Glorious Executioner,665.91,13960.0,
96aded0d-d72b-43d7-a5a2-51280be3bf44,Draven 1st - CowCowCup (80 players),piltoverarchive,https://piltoverarchive.com/decks/view/96aded0d-d72b-43d7-a5a2-51280be3bf44,23.9777,60.0,"Draven, Glorious Executioner",328.32,26500.0,3
297f54a8-ed84-4056-b2a2-5d029af6e9c8,Purple draven control,piltoverarchive,https://piltoverarchive.com/decks/view/297f54a8-ed84-4056-b2a2-5d029af6e9c8,23.9267,29.0,"Draven, Glorious Executioner",557.54,2000.0,0
8ba497b9-4bf2-4985-9833-77a5db5384bc,[set 2] irelia,piltoverarchive,https://piltoverarchive.com/decks/view/8ba497b9-4bf2-4985-9833-77a5db5384bc,23.9231,30.0,"Irelia, Blade Dancer",603.55,1800.0,0
miracle-draven-runner-up-in-vegas,Miracle Draven Runner Up in Vegas,riftboundgg,https://riftbound.gg/decks/miracle-draven-runner-up-in-vegas/,23.9077,80.44256471149347,Draven - Glorious Executioner,671.85,25867.0,
c9ea56df-2a1c-4a6f-95b6-abce7e1b754a,THE President Irelia,piltoverarchive,https://piltoverarchive.com/decks/view/c9ea56df-2a1c-4a6f-95b6-abce7e1b754a,23.8851,25.0,"Irelia, Blade Dancer",297.12,2800.0,1
11566f06-1b2b-44cf-8687-1db133025ece,[TESTED] cyberbb&#x27;s Irelia - GOTTA GO FAST,piltoverarchive,https://piltoverarchive.com/decks/view/11566f06-1b2b-44cf-8687-1db133025ece,23.8756,60.0,"Irelia, Blade Dancer",291.54,23300.0,2
e59e3214-040c-45c7-ac92-4be5fc4e4844,Protect the Queen!,piltoverarchive,https://piltoverarchive.com/decks/view/e59e3214-040c-45c7-ac92-4be5fc4e4844,23.8746,30.0,"Irelia, Blade Dancer",554.35,1600.0,1
840ad65e-d916-4835-bed5-f2d6a453645a,ezreal well,piltoverarchive,https://piltoverarchive.com/decks/view/840ad65e-d916-4835-bed5-f2d6a453645a,23.87,30.0,"Ezreal, Prodigal Explorer",414.29,6400.0,2
45e3ca5d-9c52-452d-8f5b-4bae72a01d72,Ezreal Test,piltoverarchive,https://piltoverarchive.com/decks/view/45e3ca5d-9c52-452d-8f5b-4bae72a01d72,23.8492,30.0,"Ezreal, Prodigal Explorer",407.81,7400.0,0
320aeafc-3676-4697-8a64-f8f9eefa0c0e,BEST DRAVEN DECK SO FAR (FULLY TESTED),piltoverarchive,https://piltoverarchive.com/decks/view/320aeafc-3676-4697-8a64-f8f9eefa0c0e,23.8377,60.0,"Draven, Glorious Executioner",353.39,18800.0,0
fa15f0c9-74c5-4cf6-b30a-707243302ac9,Irelia SFD Playtesting,piltoverarchive,https://piltoverarchive.com/decks/view/fa15f0c9-74c5-4cf6-b30a-707243302ac9,23.8194,25.0,"Irelia, Blade Dancer",530.79,1200.0,0
c0febe8d-11a1-4ef1-9df8-375d1e41d139,1st place group A (Ascension League Season 2 - Stage 3) - 19/01/2026,piltoverarchive,https://piltoverarchive.com/decks/view/c0febe8d-11a1-4ef1-9df8-375d1e41d139,23.8137,26.0,"Irelia, Blade Dancer",439.53,1600.0,0
9d5f202d-e981-4db6-855c-b6da09c7ca47,Riftlab Irelia,piltoverarchive,https://piltoverarchive.com/decks/view/9d5f202d-e981-4db6-855c-b6da09c7ca47,23.8039,30.0,"Irelia, Blade Dancer",417.58,2100.0,0
3d9eedb6-5f54-4b43-9402-02a064f65e00,Irelia 3-0 URF Ascention,piltoverarchive,https://piltoverarchive.com/decks/view/3d9eedb6-5f54-4b43-9402-02a064f65e00,23.7732,30.0,"Irelia, Blade Dancer",630.03,1100.0,0
best-irelia-from-bologna,Best Irelia from Bologna,riftboundgg,https://riftbound.gg/decks/best-irelia-from-bologna/,23.7609,88.11229247461867,Irelia - Blade Dancer,475.26,39579.0,
7e5524b7-bc8e-4796-82d3-ff1a2797a644,[set 2] Draven,piltoverarchive,https://piltoverarchive.com/decks/view/7e5524b7-bc8e-4796-82d3-ff1a2797a644,23.7583,29.0,"Draven, Glorious Executioner",507.12,1400.0,0
eda849be-b4a7-4dcb-bd2b-93c60929797c,EZ GO 6.3,piltoverarchive,https://piltoverarchive.com/decks/view/eda849be-b4a7-4dcb-bd2b-93c60929797c,23.746,30.0,"Ezreal, Prodigal Explorer",472.23,4500.0,0
016b20da-97f9-40d7-be19-36f430c68b47,Draven Italy Winter League winner,piltoverarchive,https://piltoverarchive.com/decks/view/016b20da-97f9-40d7-be19-36f430c68b47,23.7376,30.0,"Draven, Glorious Executioner",533.66,1300.0,0
best-irelia-from-vegas,Best Irelia from Vegas,riftboundgg,https://riftbound.gg/decks/best-irelia-from-vegas/,23.7222,80.08906344933918,Irelia - Blade Dancer,402.27,29637.0,
4f22f2c1-a794-49e7-975a-4adaa59de085,Irelia,piltoverarchive,https://piltoverarchive.com/decks/view/4f22f2c1-a794-49e7-975a-4adaa59de085,23.7222,28.0,"Irelia, Blade Dancer",435.69,1400.0,0
b63cece4-f159-445b-814b-265f10667329,Irelia deck,piltoverarchive,https://piltoverarchive.com/decks/view/b63cece4-f159-445b-814b-265f10667329,23.7192,30.0,"Irelia, Blade Dancer",337.48,2000.0,1
b78657ca-809a-410a-b7e0-47ab7f1e8501,SF Windrider,piltoverarchive,https://piltoverarchive.com/decks/view/b78657ca-809a-410a-b7e0-47ab7f1e8501,23.7183,60.0,"Irelia, Blade Dancer",542.94,5700.0,0
kai-sa-daughter-of-the-void-scgcon-vegas-top8-tingfengw,"Kai'Sa, Daughter of the Void: SCG Vegas Riftbound 10K Constructed Top 8 (Tingfeng W.)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/kai-sa-daughter-of-the-void-scgcon-vegas-top8-tingfengw,23.7165,90.0,"Kai'Sa, Daughter of the Void",374.42,2500.0,0
6212914b-ea68-4812-b2f6-180e69f66c26,Zognolo - Runes &amp; Rift Invitational,piltoverarchive,https://piltoverarchive.com/decks/view/6212914b-ea68-4812-b2f6-180e69f66c26,23.6983,30.0,"Ezreal, Prodigal Explorer",483.11,3800.0,0
b9f70226-597e-4f84-92d7-3350a6470b2b,The League of Draven! V2,piltoverarchive,https://piltoverarchive.com/decks/view/b9f70226-597e-4f84-92d7-3350a6470b2b,23.6512,30.0,"Draven, Glorious Executioner",399.29,1500.0,0
501a30fd-fc9f-497d-89e8-9c5c2806a6b1,Irelia broken,piltoverarchive,https://piltoverarchive.com/decks/view/501a30fd-fc9f-497d-89e8-9c5c2806a6b1,23.6461,60.0,"Irelia, Blade Dancer",763.58,2500.0,0
73fade1b-af17-4518-8294-52a60fbed184,[set 2] ezreal,piltoverarchive,https://piltoverarchive.com/decks/view/73fade1b-af17-4518-8294-52a60fbed184,23.6408,26.0,"Ezreal, Prodigal Explorer",501.25,2400.0,0
8af67706-4230-4c29-aeb4-8983a862947f,1st place group A (Ascension League Season 2 - Stage 2) - 13/01/2026,piltoverarchive,https://piltoverarchive.com/decks/view/8af67706-4230-4c29-aeb4-8983a862947f,23.6168,30.0,"Draven, Glorious Executioner",311.65,1900.0,0
d5fe7cc3-d907-472c-9ccb-871f73e9a016,aleks woody - Runes &amp; Rift Invitational,piltoverarchive,https://piltoverarchive.com/decks/view/d5fe7cc3-d907-472c-9ccb-871f73e9a016,23.6111,30.0,"Irelia, Blade Dancer",297.67,1900.0,0
f5ff2eae-5a9f-4598-a791-d5c17d11010c,Irelia - Huizhou City Challenge,piltoverarchive,https://piltoverarchive.com/decks/view/f5ff2eae-5a9f-4598-a791-d5c17d11010c,23.611,30.0,"Irelia, Blade Dancer",337.83,1600.0,0
midrange-draven-wins-vegas,Midrange Draven wins Vegas,riftboundgg,https://riftbound.gg/decks/midrange-draven-wins-vegas/,23.6107,80.46942814076388,Draven - Glorious Executioner,356.93,25802.0,
f8fe9ae4-afa3-4be1-9990-d73cf6e43271,【City Challenge】Tianjin Station - #3,piltoverarchive,https://piltoverarchive.com/decks/view/f8fe9ae4-afa3-4be1-9990-d73cf6e43271,23.6052,60.0,"Irelia, Blade Dancer",450.5,5200.0,0
draven-glorious-executioner-s2-regional-open-chengdu-top-8-bufan-moer,"Draven, Glorious Executioner: S2 Regional Open Chengdu Top 8 (不凡.摩尔)",mobalytics-tournament,https://mobalytics.gg/riftbound/decks/draven-glorious-executioner-s2-regional-open-chengdu-top-8-bufan-moer,23.5995,104.83163966614583,"Draven, Glorious Executioner",237.85,,
bebbabef-57c7-4ff1-98f2-edfb2081dc7d,Yuuto&#x27;s Ezreal,piltoverarchive,https://piltoverarchive.com/decks/view/bebbabef-57c7-4ff1-98f2-edfb2081dc7d,23.5829,30.0,"Ezreal, Prodigal Explorer",529.91,2400.0,0
c9210441-7101-4c83-84ad-f27c2bec28d8,[SFD] Blue Ezreal,piltoverarchive,https://piltoverarchive.com/decks/view/c9210441-7101-4c83-84ad-f27c2bec28d8,23.5824,60.0,"Ezreal, Prodigal Explorer",423.72,18600.0,1
